GWA_BTC,2014-04-01,467.27616213,488.62262576,467.27616213,479.56253758,74776.47884546,482.75743985,482.81552999
GWA_BTC,2014-04-02,479.19670871,494.29793349,431.31802927,437.07873479,114052.96112562,460.19242,465.93246647
GWA_BTC,2014-04-03,437.32653497,449.73809389,414.40617913,445.59703844,91415.08017749,432.28588464,433.28284059
GWA_BTC,2014-04-04,445.17960266,456.10045923,429.16150653,449.81125887,51147.27201926,443.45808586,443.92530961
GWA_BTC,2014-04-05,450.08019976,464.08814785,445.16065531,461.69507462,28449.19454264,452.52583215,452.94975543
GWA_BTC,2014-04-06,463.18017969,469.17143136,451.12949084,461.02185305,21720.64420186,460.92126202,460.88580469
GWA_BTC,2014-04-07,461.84002378,464.27296986,445.42650899,452.90177483,34949.20300877,455.31560897,455.750201
GWA_BTC,2014-04-08,450.06502404,462.72664785,447.96045109,452.89854533,24290.13784046,453.96422843,453.90327305
GWA_BTC,2014-04-09,454.86144503,464.36920219,442.96255111,449.30209549,30135.24576405,450.42816196,451.07798062
GWA_BTC,2014-04-10,449.71713845,449.71713845,358.70183911,366.76566549999995,149892.25002902,401.8361992,409.43261084
GWA_BTC,2014-04-11,364.25410409,430.12896628,349.19952739999997,421.78720419999996,151050.9497576,403.99657843,403.60223557
GWA_BTC,2014-04-12,421.78813041,442.87849029,417.05265929,422.20811594,46929.0954315,428.19537664,426.82354193
GWA_BTC,2014-04-13,421.46024887,432.09183453,395.40916739999994,414.53881419,53934.63242879,416.39371548,417.34547776
GWA_BTC,2014-04-14,414.25747974,469.66222688,407.76146335,458.40993411,111601.56954169,450.10966711,445.36719027
GWA_BTC,2014-04-15,459.04068231,525.90213065,454.22507175,521.64049935,106453.57102544,487.68955593,487.88426039999996
GWA_BTC,2014-04-16,522.03383681,546.65636538,496.76099206,528.22791349,107650.06179653,518.21427038,518.2319153
GWA_BTC,2014-04-17,528.38335214,534.04972827,484.25208739,495.85680143,69639.91716251,507.59772962,506.05067184
GWA_BTC,2014-04-18,496.72996549,500.53262755,472.61943652,480.70761067,40426.98246685,488.10161486,486.68132304
GWA_BTC,2014-04-19,480.41052636,507.03652664,470.77842932,502.30937637,39646.70116093,491.84980999,491.91903584
GWA_BTC,2014-04-20,501.42609767,512.65678732,491.45322444,498.97754757,23961.76875437,503.40704659,502.80409895
GWA_BTC,2014-04-21,498.78311663,510.42351245,492.94418937,496.12340416,30908.04816992,500.69304973,501.05334617
GWA_BTC,2014-04-22,495.62938581,513.45823731,488.51601559,490.11233704,25861.67019329,495.90453096,495.72015488
GWA_BTC,2014-04-23,490.09489264,500.23699644,486.24397532,491.53440769,20876.20369085,491.02156366,490.97109336
GWA_BTC,2014-04-24,491.79083813,508.24863208,482.89775041,501.9926065,27346.08180206,491.65360227,491.50429803
GWA_BTC,2014-04-25,501.86860889,509.28654823,442.73460448,462.35911719,101986.36161929,460.67190787,465.29697873
GWA_BTC,2014-04-26,461.31251432,467.15730005,448.78327451,458.60881254,28149.12199835,455.48610077,456.83738207
GWA_BTC,2014-04-27,458.83289472,463.87762232,437.88833947,437.97528666,25240.280492200003,452.30039107,452.71469987
GWA_BTC,2014-04-28,437.68153038,448.14794318,423.16128403,440.40207772,54794.92640537,437.04140189,436.28915245
GWA_BTC,2014-04-29,440.78077442,460.79428513,434.27308842,447.2562249,36852.808614199996,444.83278574,445.01891783
GWA_BTC,2014-04-30,447.4599648,460.78503322,436.49012948,448.1878155,35624.19797919,446.48840588,446.52581951
GWA_BTC,2014-05-01,450.06321746,461.9789404,448.02590991,461.15662569,29669.84361296,455.13014853,455.10032667
GWA_BTC,2014-05-02,461.28397609,465.95370357,443.85769235,449.83068378,24272.25225539,450.89278715,450.92384625
GWA_BTC,2014-05-03,450.99312953,451.90521993,433.68344238,437.87579142,23924.47051102,442.34019291,442.35445972
GWA_BTC,2014-05-04,437.6232569,439.09225864,430.48712553,434.81494994,12864.49560238,434.77137528,434.76303486
GWA_BTC,2014-05-05,435.76012677,439.98985785,427.44037039,431.52369792,24150.66304684,431.60106791,431.78952712
GWA_BTC,2014-05-06,431.80861468,432.88466646,418.7354763,429.13808541,30569.07874478,427.31297002,427.04088348
GWA_BTC,2014-05-07,429.13808541,447.09138871,422.07120395,439.72026304,42201.39067902,438.48428655,437.07260149999996
GWA_BTC,2014-05-08,438.4884655,447.02301303,438.15850431,438.99919385,21352.07496935,442.18207212,441.90187733
GWA_BTC,2014-05-09,437.51577277,464.54069339999995,436.82808173,450.60385920000004,25042.71340587,446.24007892,445.73293589
GWA_BTC,2014-05-10,450.0374131,461.37870316,448.45751848,453.86099001,15908.61267236,452.99128611,452.98209379
GWA_BTC,2014-05-11,453.70430539,464.94110769,434.04262447,438.85263914,29164.93468819,443.58105660000007,445.57661537
GWA_BTC,2014-05-12,438.84498945,452.07226057,433.04677886,440.17771092,18609.72892055,439.40760114,439.82614169999994
GWA_BTC,2014-05-13,440.72897323,450.95247116,436.01022766,439.472309,21658.91256801,441.03907832,441.06879631
GWA_BTC,2014-05-14,439.47177647,447.37468582,437.67864753,442.26510954,23017.67072317,442.21392322,442.09324717
GWA_BTC,2014-05-15,443.27247098,450.24295005,442.30781712,449.35660703,19421.42681554,447.27489188,447.26225315
GWA_BTC,2014-05-16,449.40400428,451.74016145,444.54854882,447.50907256,17256.9724465,448.64623754,448.67055999
GWA_BTC,2014-05-17,447.08937865,452.62139785,444.21622197,450.23743531,9874.59547909,447.61872977,447.98893132
